id,flags,expiration,cas,value,rev,vbid,dtype
573245671861456896,33554432,0,1197861003878,"{""id"":""573245671861456896"",""text"":""Healing workshops inspire those in search of solace http://t.co/WLkWP0y9ar"",""name"":""Tom OM"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507393000,""mentions"":[],""user"":""tom_om2012""}",4,190,1
573245436493897728,33554432,0,1194838336710,"{""id"":""573245436493897728"",""text"":""I just clipped this striped nails diy - Norton Safe Search from http://t.co/jOXonnL9FL to @polyvore http://t.co/Y9hdwwJWmw"",""name"":""Patricia  Sundik"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507337000,""mentions"":[""polyvore""],""user"":""luvsParis""}",5,917,1
573245496715821056,33554432,0,1223927453808,"{""id"":""573245496715821056"",""text"":""@regxlswan I search \""otp\"" in Buzzfeed, come onto twitter for ONE SECOND, and this is the top tweet I see. Internet knows whazzup."",""name"":""~"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507351000,""mentions"":[""regxlswan""],""user"":""xtinaremains""}",5,911,1
573245975562727424,33554432,0,1231116811775,"{""id"":""573245975562727424"",""text"":""RT @orangeagle15: Search History\n\n#ReasonsYouWereFiredInTwoWords"",""name"":""More Cats Than Sense"",""longitude"":null,""hashtags"":[""ReasonsYouWereFiredInTwoWords""],""latitude"":null,""datetime"":1425507465000,""mentions"":[""orangeagle15""],""user"":""TheCattyLady""}",3,910,1
573246046974963713,33554432,0,1233585939692,"{""id"":""573246046974963713"",""text"":""BREAKING: Alibaba to open cloud-computing data center in Silicon Valley http://t.co/o7uFRFtb0j #ktuu #puppy"",""name"":""Miss Nugget"",""longitude"":null,""hashtags"":[""ktuu"",""puppy""],""latitude"":null,""datetime"":1425507482000,""mentions"":[],""user"":""MissNuggett""}",3,913,1
573246177426030592,33554432,0,1204771973432,"{""id"":""573246177426030592"",""text"":""Woman Digs up Father’s grave in Search of His ‘Real Will’ http://t.co/hP0krgscJ5"",""name"":""OFFICIALTEAMXOLANI"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507513000,""mentions"":[],""user"":""Teamxolani""}",2,292,1
573245540558749696,33554432,0,1225216590063,"{""id"":""573245540558749696"",""text"":""She willing to buy me a Iphone,  but she talking about I can't over my data. I'm good 😂"",""name"":""DaChe' "",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507361000,""mentions"":[],""user"":""attitudebad_""}",5,593,1
573245708909715456,33554432,0,1198659708385,"{""id"":""573245708909715456"",""text"":""RT @simplymeasured: [NEW] How to Build Better #Facebook Videos Using Insights Data: http://t.co/hch5K8jc6f http://t.co/lB2e2M9954"",""name"":""Lucy Hitz"",""longitude"":null,""hashtags"":[""Facebook""],""latitude"":null,""datetime"":1425507402000,""mentions"":[""simplymeasured""],""user"":""LLHitz""}",4,192,1
573246238658723840,33554432,0,1236788285440,"{""id"":""573246238658723840"",""text"":""Woman Digs up Father’s grave in Search of His ‘Real Will’ http://t.co/EVqMQTlZHD http://t.co/i7iQi9WnTt"",""name"":""MPmania.com"",""longitude"":null,""hashtags"":[],""latitude"":null,""datetime"":1425507528000,""mentions"":[],""user"":""mp_maniac""}",2,716,1
573246227447459841,33554432,0,1236273135602,"{""id"":""573246227447459841"",""text"":""4.4.2013: ...decifrar informações em \""big data\"" de um mundo sigiloso http://t.co/QNouy0pxVI via @folha_com #swissleak"",""name"":""Francisco Mendes"",""longitude"":null,""hashtags"":[""swissleak""],""latitude"":null,""datetime"":1425507525000,""mentions"":[],""user"":""metalogis""}",2,595,1
